Fresho Lettuce - Iceberg 500 gm approx. 1 to 2 nos  Rs. 41
Fresho Lettuce - Iceberg 1 kg  Rs. 75
Fresho Banana - Flower 1 pc approx. 300 to 400 gm  Rs. 24
Fresho Amaranthus Leaves 250 gm  Rs. 7
Fresho Amaranthus Leaves 500 gm  Rs. 13
Ambrosia Ladies Finger 250 gm  Rs. 26
Fresho Dill Leaves 250 gm  Rs. 47
Fresho Dill Leaves 500 gm  Rs. 15
Fresho Sprouts - Channa Brown 200 gm  Rs. 100
Fresho Cabbage - Red 500 gm  Rs. 30
Fresho Cabbage - Red 1 kg approx. 1 to 2 nos  Rs. 55
Fresho Zucchini - Yellow 250 gm approx. 1 to 2 nos  Rs. 9
Fresho Zucchini - Yellow 500 gm approx. 1 to 2 nos  Rs. 16
Fresho Zucchini - Yellow 1 kg approx. 3 to 4 nos  Rs. 29
Fresho Pumpkin - Disco 1 kg  Rs. 25
Fresho Celery 1 kg  Rs. 19
Fresho Celery 250 gm  Rs. 6
Fresho Celery 500 gm  Rs. 10
Fresho Baby Corn - Unpeeled 500 gm approx. 8 to 10 nos  Rs. 29
Fresho Baby Corn - Unpeeled 1 kg approx. 20  to 25 nos  Rs. 66
Fresho Mushrooms - Oyster 200 gm  Rs. 121
Fresho Leeks 100 gm  Rs. 33
First Agro Capsicum - Yukon Green approx 400 to 500 gm  Rs. 22
Fresho Sprouts - Horse Gram 200 gm  Rs. 19
Fresho Peeled - Avarekalu 200 gm  Rs. 25
Fresho Betel Leaf 10 pcs  Rs. 35
Fresho Turnip 500 gm approx. 3 to 4 nos  Rs. 64
Fresho Turnip 1 kg approx. 7 to 8 nos  Rs. 116
Fresho Cherry Tomato 250 gm  Rs. 15
Fresho Fresh Peeled - Rajma Beans Red 200 gm Box  Rs. 10
Fresho Lettuce - Romaine 100 to 150 gm  Rs. 6
Ambrosia Capsicum - Red 250 gm  Rs. 3
First Agro Cucumber - American Slicer 600 gm  Rs. 9
First Agro European Cucumber - Premium 500 gm  Rs. 21
Fresho Karamani - White 200 gm  Rs. 9
Fresho Peeled - Double Beans 200 gm  Rs. 17
Fresho Karamani - Brown 200 gm  Rs. 77
First Agro Cucumber - Indian 700 gm  Rs. 140
Fresho Arracknut (Supari) 25 gm approx. 50-60 pcs  Rs. 32
First Agro Chilli - Xanadu Anaheim 250 gm  Rs. 59
First Agro Chilly - Color Exotic 100 gm  Rs. 11
First Agro Chilli - Hungarian Wax 250 gm  Rs. 24
First Agro Lettuce - Lolla Rossa 100 gm  Rs. 44
Fresho Cauliflower (Medium) - Grade A 1 pc approx. 400 to 600 gm  Rs. 15.90
